Name,Code,Price,Description,Dimensions,Thumbnail Image,Detail Image,Extra Large Image,Detail Page Link,Shopping Cart Link,Everyday,Birthday,Anniversary,Love and Romance,Get Well,New Baby,Thank You,Sympathy,Category
A Touch of Elegance,FAA-112,104.95,"A Touch of Elegance is a one sided arrangement made in that includes purple liatris, pink carnations, white fugi mums, yellow mini carns, white cushion pompons, purple montecasino and purple statice for filler and a white satin bow.",32&quot; H x 24&quot; W,https://cdn.floristone.com/small/FAA-112.jpg,https://cdn.floristone.com/large/FAA-112.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-112&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-112&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Beaming Flower Arrangement,FAA-114,104.95,"Beaming is bright and happy arrangement that stands out. This one-sided arrangement in a white plastic hoop basket to include yellow fugi mums, red carnations, yellow cushion pompons, red miniature carnations and a yellow stain bow.",28&quot; H x 22&quot; W,https://cdn.floristone.com/small/FAA-114.jpg,https://cdn.floristone.com/large/FAA-114.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-114&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-114&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Lily Surprise Flower Arrangement,FAA-128,84.95,"The Fresh Flower Arrangement is a one-sided flower arrangement in a clear glass classic urn vase filled with Asiatic lilies that are pink, peach, orange and white.",13' H x 16&quot; W,https://cdn.floristone.com/small/FAA-128.jpg,https://cdn.floristone.com/large/FAA-128.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-128&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-128&source_id=aff&affiliateid=2026051528,0,1,1,1,1,1,1,1,Funeral - Table Arrangements
Sun Splash,FAA-300,139.95,"Sunshine and warmth radiates from this large, one-side basket of sunflowers, yellow snapdragons, burgundy carnations, yellow roses, yelllow daisy pompons and solidago.",22' x 22&quot;,https://cdn.floristone.com/small/FAA-300.jpg,https://cdn.floristone.com/large/FAA-300.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-300&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-300&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Radiant Glow,FAA-302,149.95,"Radiant Glow is a large and bright one-side arrangement in a brown basket. The eye-catching colors that pop come from yellow Snapdragons, orange Gerbera Daisies, yellow Roses, red standard Carnations, butterscotch Pompons, yellow Solidago and purple Statice for filler.",22&quot; H x 18&quot; W,https://cdn.floristone.com/small/FAA-302.jpg,https://cdn.floristone.com/large/FAA-302.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-302&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-302&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Serenity,FAA-305,119.95,"The Serenity flower basket arrangement is one-sided table arrangement in white handled basket to that is filled with white larkspur, white asiatic lilies, white carnations and white miniature carnations. This is a large basket arrangement that is about 1 and 1/2 feet high and 1 and 1/2 feet wide.",20&quot; H x 18&quot; W,https://cdn.floristone.com/small/FAA-305.jpg,https://cdn.floristone.com/large/FAA-305.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-305&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-305&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Pretty Petals,FAA-306,199.95,"The Pretty Petals flower arrangement is a one sided table sympathy arrangement made in a white handled basket filled with a generous 2 dozen roses, 8 pink roses, 8 white roses, 8 yellow roses.",17&quot; H x 21&quot; W,https://cdn.floristone.com/small/FAA-306.jpg,https://cdn.floristone.com/large/FAA-306.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-306&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-306&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Rose Radiance Flower Basket Arrangement,FAA-307,304.95,Rose Radiance is about roses and more roses. Three dozen red roses generously fill this one sided table sympathy arrangement in a brown handled basket.,21&quot; H x 23&quot; W,https://cdn.floristone.com/small/FAA-307.jpg,https://cdn.floristone.com/large/FAA-307.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-307&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-307&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Yellow Splash Basket,FAA-309,119.95,"The Yellow Splash basket is a one sided funeral table sympathy basket in a white handled basket to include white snapdragons, yellow fugi mums, yellow roses, yellow mini carns and solidago for filler.",24&quot; H x 20&quot; W,https://cdn.floristone.com/small/FAA-309.jpg,https://cdn.floristone.com/large/FAA-309.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-309&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-309&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Baskets
Yellow Rising,FAA-315,79.95,"Yellow Rising is a tall one-sided arrangement made in a black flat square bowl that has yellow snapdragons, yellow gerbera daisies, and yellow spray roses.",22&quot; H x 14&quot; W,https://cdn.floristone.com/small/FAA-315.jpg,https://cdn.floristone.com/large/FAA-315.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-315&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-315&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Table Arrangements
Peace Lily,FAA-403,84.95,"The Peace Lily, also called a Spathiphyllum, comes in an 8&quot; whitewash pot.",8&quot; Pot,https://cdn.floristone.com/small/FAA-403.jpg,https://cdn.floristone.com/large/FAA-403.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-403&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-403&source_id=aff&affiliateid=2026051528,1,1,0,0,1,1,1,1,Funeral - Plants
Sweetest Memories,FAA-500,194.95,"Sweetest Standing Spray is an oval standing spray on an easel with stems light pink roses, stems hot pink Spray Roses, stems white Daisy Pompons,white Larkspur, white Fugi Mums, white Alstroemeria, blue Delphinium, white Montecasino and a white satin bow in the center.",32&quot; H x  20&quot; W,https://cdn.floristone.com/small/FAA-500.jpg,https://cdn.floristone.com/large/FAA-500.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-500&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-500&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Memories Standing Spray,FAA-501,184.95,"The Memories Standing Spray evokes gentleness and purity. This oval shaped standing spray on easel include pink larkspur, white fugi mums, pink carnations, pink alstroemeria, pink roses, white cushion pompons, babys breath for filler and a pink satin bow in the center.",40&quot; H x 30&quot; W,https://cdn.floristone.com/small/FAA-501.jpg,https://cdn.floristone.com/large/FAA-501.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-501&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-501&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Forever Loved Standing Spray,FAA-503,194.95,"Forever Loved Standing Spray evokes brightness, warmth and hope. This oval shaped standing spray on easel include white larkspur, red carnations, white spray roses, red miniature carnations, white cushion pompons, white montecasino for filler and a red satin bow in the center.",40' H x 30&quot; W,https://cdn.floristone.com/small/FAA-503.jpg,https://cdn.floristone.com/large/FAA-503.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-503&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-503&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Shimmering Light Standing Spray,FAA-504,194.95,"The Shimmering Light Standing spray is an oval standing spray that include pink larkspur, white fugi mums, pink carnations, red alstroemeria, red spray roses, white cushion pompons, babys breath for filler and a pink satin bow in the center. Color, light and warmth flow from this spray.",40' H x 30&quot; W,https://cdn.floristone.com/small/FAA-504.jpg,https://cdn.floristone.com/large/FAA-504.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-504&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-504&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Star Spangled Spray,FAA-505,209.95,"The Star Spangled Spray honors the life of a patriot. This oval shaped standing spray comes in patriotic colors of red, white and blue and includes red miniature carnations, red carnations, white larkspur, white spray roses, white cushion pompons, white montecasino and dark blue delphinium with a royal blue satin bow in the center.",40 H x 30&quot; W,https://cdn.floristone.com/small/FAA-505.jpg,https://cdn.floristone.com/large/FAA-505.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-505&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-505&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Yellow Tribute Standing Spray,FAA-506,194.95,"The Yellow Tribute Standing Spray evokes brightness, light and warmth. This spray is on an easel and includes yellow fugi mums, yellow roses, Orange Snapdragons, orange alstroemeria, white cushions, solidago for filler and a yellow satin bow in the center.",40&quot; H x 30&quot; W,https://cdn.floristone.com/small/FAA-506.jpg,https://cdn.floristone.com/large/FAA-506.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-506&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-506&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Eternal Star Standing Spray,FAA-507,199.95,"The Eternal Star Standing Spray is an oval shaped standing spray that includes pink larkspur, white fugi mums, pink carnations, purple alstroemeria, pink spray roses, lavender daisy pompons and pink waxflower for filler and adorned with a pink stain bow in the center.",40&quot; H x 30&quot; W,https://cdn.floristone.com/small/FAA-507.jpg,https://cdn.floristone.com/large/FAA-507.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-507&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-507&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Sprays
Roseary,FAA-990,209.95,Roseary is flower rosary made of 50 red spray roses. This is a powerful way for Catholics and all Christians to honor a honor a life of faithful devotion.,50 count,https://cdn.floristone.com/small/FAA-990.jpg,https://cdn.floristone.com/large/FAA-990.jpg,,http://www.floristone.com/detail.cfm?dcode=FAA-990&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=FAA-990&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,1,Funeral - Inside Casket
